,ASV_ID,accession,percent_identity,query_len,e_value,bit_score,kingdom,phylum,class,order,family,genus,species
19,3f2649e1ee8dbc0543a1e70a2fecf61e,KJ412302,82.594,293,1.17E-63,257,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
20,6a16ed419cb1b9116227dffad865346e,KJ412302,81.23,309,1.95E-61,250,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
21,7604dd07f8f05d36aee533143ab26568,KJ412302,85.664,286,5.31E-77,302,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
22,7940e0639aa181ee0b8d298001e748a4,KJ412302,82.68,306,1.50E-67,270,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
23,7cf9e914a2fa5cd71265b642f3256a8f,KJ412302,84.74,308,3.17E-79,309,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
24,87a8b81931c90c8787e243b1b51fadcb,KJ412302,82.68,306,4.16E-68,272,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
25,8ff551a57d26f9fdddf22b3aa49c5132,KJ412302,86.014,286,1.14E-78,307,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
26,98077b4a45661a398df2f6bd5ffd3118,KJ412302,86.014,286,1.14E-78,307,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
27,aff233ea5bbdec05e97b976a525c1340,KJ412302,82.253,293,5.43E-62,252,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
28,b8d3d2908fee3d082098d44fa6d8eb3d,KJ412302,83.276,293,5.39E-67,268,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
29,c185bc4139405f2a1884a7f7956b9cf6,KJ412302,83.333,306,1.92E-71,283,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
30,cb8be6d78e75a07c9b795d5bfdf01d85,KJ412302,81.23,309,1.95E-61,250,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
31,d65943334b59007976baea15293bbf9e,KJ412302,82.68,306,4.16E-68,272,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
32,db6f7c2491cd460f293d111870b60e84,KJ412302,83.66,306,4.14E-73,289,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
33,deb4ab3adc9b73fff591e0f9ee382aac,KJ412302,81.23,309,1.95E-61,250,NA,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina tobinii
34,12695a13c3e2e3a3ee3d252b38c875c7,EF650542,92.063,315,8.43E-120,444,Metazoa,Rotifera,Eurotatoria,NA,NA,NA,Bdelloidea environmental sample
35,0f6d7b8390c4f45e3c65624739d1028c,PP409253,83.923,311,6.87E-76,298,Metazoa,Cnidaria,Hydrozoa,Trachymedusae,Ptychogastriidae,Ptychogastria,Ptychogastria polaris
36,d97bb0e86b7d89ad0c760c5569e3f677,MW786940,98.101,316,4.83E-152,551,Metazoa,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,Bolinopsis aff. vitrea SBJ-2021
37,f13332469728ceb9cb00f731f6abe19c,MW786940,98.418,316,1.04E-153,556,Metazoa,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,Bolinopsis aff. vitrea SBJ-2021
38,190d8c53b4966737a6f9fc7c344a1f25,OQ544427,84.014,294,6.92E-71,281,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
39,3ed164e73907fbe0a0d5b8c1cecf8c19,OQ544427,83.673,294,3.22E-69,276,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
40,599229842204e930048a9a27f65e1712,OQ544427,83.333,294,1.50E-67,270,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
41,adac8caeb5f9523e5f85364fd5752b78,OQ544427,83.673,294,3.22E-69,276,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
42,d13c4bf5be4bcdd120058c20141b4ea1,OQ544427,83.673,294,3.22E-69,276,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
43,e820e51b84b972e268fc20049f181807,OQ544427,83.673,294,3.22E-69,276,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia sp. SW-2023a
44,007e5bb91694570fa791dcb86c8c2950,MH824533,100,313,2.19E-160,579,NA,NA,Synurophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas malhamensis
45,419a8d1995d6d655a19a3d32421a576d,KC774063,82.333,300,9.02E-65,261,Metazoa,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,Clio convexa
46,89ce23efcc2b9157fba6d0492ae08941,KC774063,82.667,300,1.94E-66,267,Metazoa,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,Clio convexa
47,de5fbc9975aba9d6e738d5c92c7ff40e,KC774063,82.119,302,1.17E-63,257,Metazoa,Mollusca,Gastropoda,Pteropoda,Cliidae,Clio,Clio convexa
48,NA,NA,NA,NA,NA,NA,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
49,3518750c43cb5127cfac864a6743ee80,MH124200,83.871,279,1.94E-66,267,NA,Discosea,NA,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
50,9ac6e5e9c2898142337ef0ddba7b2af2,MH124200,83.871,279,1.94E-66,267,NA,Discosea,NA,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
51,bce6a2ab072ad011b3ec6ccfa42bf65a,MH124200,85.619,299,8.83E-80,311,NA,Discosea,NA,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
52,bff0d556e96aecb7a732b466ccf50dfc,MH124200,84.229,279,4.16E-68,272,NA,Discosea,NA,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
53,6f4971160b7422ebe59444a2e0b10a5d,KT257397,84.083,289,8.95E-70,278,NA,Oomycota,NA,NA,NA,Haptoglossa,Haptoglossa zoospora
54,242474136992a598c2d79b3f8955ca2c,PP409328,85.563,284,2.47E-75,296,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
55,7132402a07c089527c388520dad44006,PP409328,85.563,284,2.47E-75,296,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
56,740fd0d0f77454aa9167dc548b616a1c,PP409328,85.563,284,2.47E-75,296,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
57,99625af5a2ad5396a21c300547518259,PP409328,85.563,284,2.47E-75,296,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
58,bced40876e7249f1aa2efa75f803e2ef,PP409328,85.211,284,1.15E-73,291,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
59,de722045ef3af33a795ac2c7160f3361,PP409328,86.822,258,1.49E-72,287,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
60,f60397e777f69e41ad224dc44ba68c4f,PP409327,86.316,285,1.14E-78,307,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
61,f7977084eacbc206d354e02d02e59804,PP409327,85.563,284,2.47E-75,296,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.
62,1027c4eadfb73eb66e35a9bd0e5ece74,CP088343,96.528,288,8.22E-130,477,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium oxalicum
63,16a181c68119d698860347f9be6182d9,CP088343,96.805,313,1.04E-143,523,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium oxalicum
64,247cadb682162acfee0a126d2cd3673d,CP088343,96.805,313,1.04E-143,523,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium oxalicum
65,2bb232e7d9832b35727b0c2b5bc7522d,CP088343,97.125,313,2.24E-145,529,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium oxalicum
66,53814ac04567f8e2287c46b0b52f47f1,FJ004548,93.594,281,1.41E-112,420,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sclerotiorum
67,5705631841c09bed76a2b9f990e0f542,FJ004548,93.238,281,6.54E-111,414,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sclerotiorum
68,f547f0787f8765de57a27b396831e0cc,FJ004548,93.238,281,6.54E-111,414,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sclerotiorum
69,07bdf4e040f1b515ff123c85b504b663,MT047458,81.646,316,1.17E-63,257,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces elegans
70,7a03f249f7ca5f34e178c4e677370859,MT047458,81.388,317,5.43E-62,252,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces elegans
71,00608428708c03be0ed0e81a4e2cd110,MW819745,98.418,316,1.04E-153,556,NA,NA,Dinophyceae,NA,NA,Philozoon,Philozoon balanophyllum
72,91f66496d9a5166861c1e62ab252e3b9,KX100839,84.429,289,5.35E-72,285,NA,NA,Synurophyceae,Synurales,Mallomonadaceae,Mallomonas,Mallomonas sp.
73,c920711be3d84ae6b5569b63fd8ac9f3,KX100839,83.509,285,6.97E-66,265,NA,NA,Synurophyceae,Synurales,Mallomonadaceae,Mallomonas,Mallomonas sp.
74,abb9c3b32e5bbaa00661a30a079c1cff,MN346641,83.446,296,4.16E-68,272,Metazoa,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,NA,Pardaliscidae sp. BOLD:ADF6557
75,77e1c5cb99305f2fb5c3513c28762b02,MZ631774,84.281,299,3.20E-74,292,NA,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophila,Mycetophila stricklandi
76,f869bfe830c5ef58f3bc01fcfb716129,MZ631774,83.612,299,2.48E-70,279,NA,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophila,Mycetophila stricklandi
77,2dba4c6c7a71e8657abb3c64b617c0b9,KX100775,82.253,293,1.95E-61,250,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp.
78,6854ae9aa280a6c2d0159b60a4f871db,KX100775,82.253,293,1.95E-61,250,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp.
79,a99d4f007d4b6e5c63579b1cd70d7216,KX100775,84.868,304,1.48E-77,303,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp.
80,ef6219cacb32b652b1fc194013ba3180,KX100775,82.594,293,4.19E-63,255,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp.
81,39cbdbd62d35ef07136180963eed7d40,KX100829,86.644,292,1.13E-83,324,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
82,78715e0177cb6e9514e01ba4826dd8e2,KX100829,86.301,292,5.27E-82,318,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
83,8f2128e085d71dd282338c2f4f1fbe06,KX100829,86.986,292,2.44E-85,329,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
84,dff36a2de0d41bc45dc77b86e2528c75,KX100829,86.644,292,1.13E-83,324,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
85,e2005efe93f5449d45bf3c26eb779527,KX100829,86.644,292,1.13E-83,324,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
86,1972cc9483dc60f303fe49312a176ae1,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
87,1b46e92f19b06bc7392825fa0e6154bd,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
88,1e28ee48fe6b79d044abdf519b59b15d,FJ030895,99.042,313,6.14E-156,564,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
89,89a574231d1186a4604a0075914bae29,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
90,98711367e9a2905522a687b8f64bf50c,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
91,a6449ab6f988b6cbdfabb032e6b43b0b,FJ030895,99.681,313,2.83E-159,575,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
92,a87283af684c4c8cbd4c8a9d67b175ca,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
93,a93444dd2f1c4a87b2c065760ed5ebd8,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
94,aca09f0475458288615990460b53edfb,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
95,b491e2fccfb03dfcdbe61734defa1216,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
96,bc71556658d0a73873bd9e3db6f26941,FJ030895,99.361,313,1.32E-157,569,NA,NA,Bigyra,Bicosoecida,NA,Caecitellus,Caecitellus parvulus
97,5e43ab44beab316a531c7b1bb0e5793f,MW731614,82.867,286,5.41E-62,252,Metazoa,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona xiaoci
98,7c8c6a655b2406ccc2d425f05ec895c2,MW731614,83.275,287,1.17E-63,257,Metazoa,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona xiaoci
99,88fabb73f100073e119888bb8dd23a5a,MW731614,83.217,286,1.17E-63,257,Metazoa,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona xiaoci
100,5ab55e334733b6069cc09b891489d265,KU247763,86.901,313,5.20E-92,351,Metazoa,Arthropoda,Hexanauplia,Calanoida,Spinocalanidae,Spinocalanus,Spinocalanus antarcticus
101,c9a3d24fa48f69f55d43442c54fd0cb6,KU247763,87.22,313,1.12E-93,357,Metazoa,Arthropoda,Hexanauplia,Calanoida,Spinocalanidae,Spinocalanus,Spinocalanus antarcticus
102,f724912b8d68eceb0efc6475b663f440,KU247763,86.901,313,5.20E-92,351,Metazoa,Arthropoda,Hexanauplia,Calanoida,Spinocalanidae,Spinocalanus,Spinocalanus antarcticus
103,584ac9a065d03719739ba72a62456334,GQ501325,86.392,316,8.80E-90,344,NA,NA,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella trochoidea
104,c815d438e7393f1df97c36523174b7f6,OK054367,92.926,311,1.39E-122,453,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora cassiicola
105,1bd9e2d582c91cd15cb0d90e5aa8fe78,KR264880,84.345,313,4.11E-78,305,NA,Oomycota,NA,Saprolegniales,Saprolegniaceae,Achlya,Achlya catenulata
106,02b91a6045f698aa408d77bc36e7f266,HQ708863,82.595,316,4.16E-68,272,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
107,3e637964eec261532de1b108eda1b7f1,HQ708863,82.736,307,1.94E-66,267,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
108,7e2d24f09df38aa99abdf2eb0dbb636a,HQ708863,82.595,316,4.16E-68,272,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
109,94d9717463afba80b7e8cd31a8bf8a96,HQ708863,83.228,316,1.92E-71,283,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
110,b9616e6bd7e6869492e466ca8bf7698c,HQ708863,83.544,316,4.14E-73,289,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
111,f0fda72ac35a23e01543b360bbc1619f,HQ708863,82.911,316,8.95E-70,278,NA,Oomycota,Peronosporea,Pythiales,Pythiaceae,Pythium,Pythium sp. CAL-2011c
112,02532d1fbad621488951a8893464a2b2,LT840186,85.256,312,4.08E-83,322,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
113,033ef326a9437d1301608175ee9c1197,LT840186,84.026,313,5.31E-77,302,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
114,0860de5594315d236ebf65d4b8f8f477,LT840186,84.936,312,1.90E-81,316,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
115,0a45ede41fe3d7c2283541ba36784040,LT840186,84.345,313,4.11E-78,305,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
116,0b60cf2b58f306fc2097192df8cba04a,LT840186,85.577,312,8.76E-85,327,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
117,0ce8dde536f8d7f75c565f19b1812ff5,LT840186,84.665,313,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
118,0f559c60d679a6e07109d700c1c95142,LT840186,86.262,313,1.13E-88,340,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
119,125962db6ac502b1d3ca2733bf3ae19b,LT840186,85.577,312,8.76E-85,327,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
120,1488e7e167ed7e738c324857c54c5982,LT840186,86.262,313,1.13E-88,340,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
121,14f65109e5129af46de84f6f72f57780,LT840186,86.581,313,2.42E-90,346,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
122,16bc3d053c97004db4118f8e0ffd72c6,LT840186,84.615,312,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
123,17541e3bc616626d3a0fd65dd8608644,LT840186,84.615,312,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
124,17d6321023a9cbcdbabf9d3f37aad59b,LT840186,86.901,313,5.20E-92,351,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
125,1afba4af1bf85c4606d7734a0c38bfac,LT840186,84.615,312,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
126,20de47d581518f1786fc9525900c1e96,LT840186,87.821,312,1.85E-96,366,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
127,21f762553fd01113b5eb847e30ceba32,LT840186,83.974,312,1.91E-76,300,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
128,23c76c121d2651834225b245efee1c28,LT840186,84.345,313,1.14E-78,307,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
129,2d96d3d0b047e68735e1e73c4d0ca303,LT840186,84.615,312,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
130,30f4442937ccc025e17ff0b207f01c65,LT840186,85.256,312,4.08E-83,322,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
131,310c661eb9b15670647bba5c788a6705,LT840186,84.295,312,4.11E-78,305,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
132,33d37c4f9d0d73673f01f5f6ee5caf57,LT840186,84.615,312,8.83E-80,311,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
133,345a807936b896ef3606b0d6abdce4ee,LT840186,85.304,313,4.08E-83,322,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
134,37890c1f104219b746b425c1550dab0e,LT840186,83.974,312,1.91E-76,300,NA,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
